ImageId,Label
1,0
2,5
3,4
4,0
5,3
6,7
7,0
8,3
9,0
10,3
11,3
12,7
13,3
14,0
15,9
16,0
17,6
18,1
19,9
20,0
21,9
22,1
23,1
24,5
25,9
26,9
27,2
28,9
29,7
30,3
31,7
32,5
33,4
34,2
35,6
36,3
37,9
38,5
39,3
40,6
41,7
42,7
43,4
44,4
45,8
46,9
47,8
48,5
49,6
50,1
51,6
52,8
53,8
54,3
55,8
56,5
57,1
58,3
59,5
60,0
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,7
69,0
70,1
71,6
72,5
73,8
74,8
75,8
76,2
77,8
78,9
79,6
80,0
81,5
82,9
83,1
84,0
85,4
86,6
87,4
88,3
89,6
90,7
91,5
92,0
93,8
94,6
95,7
96,9
97,3
98,7
99,9
100,7
101,0
102,9
103,8
104,0
105,7
106,3
107,0
108,3
109,0
110,4
111,6
112,0
113,9
114,1
115,1
116,3
117,1
118,1
119,5
120,3
121,3
122,7
123,3
124,3
125,6
126,3
127,8
128,7
129,5
130,7
131,2
132,8
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,6
141,4
142,3
143,4
144,3
145,5
146,8
147,9
148,9
149,3
150,8
151,4
152,3
153,5
154,3
155,3
156,1
157,7
158,3
159,9
160,8
161,3
162,0
163,4
164,0
165,1
166,8
167,7
168,6
169,2
170,0
171,0
172,7
173,7
174,6
175,1
176,3
177,7
178,4
179,1
180,3
181,9
182,3
183,8
184,3
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,5
193,4
194,4
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,9
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,6
215,9
216,3
217,1
218,8
219,3
220,9
221,0
222,3
223,1
224,3
225,6
226,8
227,7
228,5
229,9
230,6
231,0
232,9
233,7
234,1
235,7
236,3
237,5
238,3
239,8
240,6
241,0
242,8
243,5
244,0
245,3
246,3
247,1
248,8
249,3
250,5
251,9
252,4
253,1
254,3
255,8
256,9
257,8
258,1
259,9
260,2
261,5
262,5
263,3
264,3
265,9
266,0
267,6
268,8
269,6
270,1
271,5
272,0
273,6
274,3
275,7
276,4
277,1
278,3
279,8
280,8
281,6
282,7
283,6
284,0
285,3
286,3
287,9
288,9
289,4
290,8
291,8
292,7
293,7
294,9
295,7
296,6
297,3
298,0
299,2
300,3
301,6
302,7
303,8
304,3
305,6
306,3
307,1
308,1
309,9
310,0
311,8
312,5
313,9
314,0
315,0
316,3
317,8
318,4
319,1
320,8
321,9
322,1
323,1
324,9
325,8
326,9
327,9
328,1
329,3
330,3
331,6
332,3
333,1
334,3
335,0
336,8
337,0
338,8
339,6
340,8
341,5
342,2
343,1
344,8
345,6
346,0
347,8
348,5
349,3
350,3
351,6
352,7
353,3
354,8
355,3
356,8
357,8
358,4
359,3
360,1
361,6
362,6
363,5
364,8
365,4
366,3
367,3
368,8
369,1
370,5
371,9
372,0
373,9
374,9
375,7
376,6
377,9
378,5
379,3
380,7
381,5
382,1
383,3
384,4
385,2
386,6
387,8
388,1
389,3
390,7
391,1
392,7
393,7
394,2
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,3
403,6
404,1
405,1
406,1
407,2
408,3
409,8
410,0
411,3
412,0
413,9
414,1
415,6
416,3
417,1
418,1
419,3
420,5
421,4
422,3
423,6
424,8
425,3
426,1
427,4
428,7
429,4
430,7
431,4
432,8
433,3
434,5
435,0
436,1
437,8
438,4
439,3
440,5
441,8
442,2
443,7
444,9
445,1
446,9
447,1
448,5
449,3
450,7
451,9
452,7
453,6
454,9
455,5
456,4
457,6
458,3
459,1
460,8
461,6
462,7
463,8
464,3
465,8
466,1
467,7
468,9
469,9
470,1
471,1
472,9
473,4
474,3
475,8
476,0
477,1
478,3
479,1
480,0
481,4
482,8
483,1
484,2
485,7
486,9
487,9
488,8
489,3
490,9
491,7
492,9
493,8
494,4
495,2
496,7
497,3
498,2
499,3
500,0
501,6
502,3
503,7
504,4
505,3
506,8
507,8
508,3
509,0
510,6
511,7
512,9
513,8
514,9
515,3
516,3
517,1
518,7
519,0
520,2
521,4
522,7
523,0
524,7
525,7
526,1
527,0
528,1
529,1
530,9
531,0
532,8
533,3
534,8
535,3
536,5
537,8
538,8
539,9
540,3
541,0
542,8
543,9
544,5
545,0
546,3
547,0
548,8
549,5
550,1
551,1
552,3
553,0
554,6
555,6
556,0
557,4
